Source   2MASS/SSTc2d   EDR3_Dist_PPVII (pc)   FluxCO (mJy km/s)   eFluxCO Trapman? Binary?
J16115091-2012098 J16115091-2012098 140.85    235.0  45.0 0 0
J16122737-2009596 J16122737-2009596 143.05     55.0  38.0 0 0
J16123916-1859284 J16123916-1859284 135.46   1554.0 125.0 1 0
J16124893-1800525 J16124893-1800525 153.39     24.0  31.0 0 0
J16125533-2319456 J16125533-2319456 153.36     31.0  25.0 0 0
J16130996-1904269 J16130996-1904269 136.52     60.0  31.0 0 0
J16133650-2503473 J16133650-2503473 142        21.0  41.0 0 1
J16135434-2320342 J16135434-2320342 142       110.0  29.0 0 1
J16141107-2305362 J16141107-2305362 142       -14.0  18.0 0 1
J16142029-1906481 J16142029-1906481 142      4681.0 118.0 1 0
J16142893-1857224 J16142893-1857224 142        14.0  29.0 0 1
J16143367-1900133 J16143367-1900133 136.93    339.0  49.0 0 0
J16145918-2750230 J16145918-2750230 149.96    -53.0  33.0 0 0
J16145928-2459308 J16145928-2459308 159.24    110.0  29.0 0 0
J16151239-2420091 J16151239-2420091 146.03     -8.0  25.0 0 0
J16153456-2242421 J16153456-2242421 138.13    139.0  36.0 0 1
J16154416-1921171 J16154416-1921171 142     14147.0 138.0 0 0
J16163345-2521505 J16163345-2521505 159.45    164.0  30.0 0 0
J16181618-2619080 J16181618-2619080 142        82.0  29.0 0 1
J16181904-2028479 J16181904-2028479 139.67    177.0  31.0 0 0
J16215466-2043091 J16215466-2043091 108.79    -56.0  31.0 0 0
J16220961-1953005 J16220961-1953005 134.39     15.0  45.0 0 1
J16230783-2300596 J16230783-2300596 137.93     75.0  32.0 0 0
J16235385-2946401 J16235385-2946401 135.19    -24.0  28.0 0 0
J16270942-2148457 J16270942-2148457 137.97    109.0  32.0 0 0
J16303390-2428062 J16303390-2428062 146.61      6.0  31.0 0 0
J15555600-2045187 J15555600-2045187 146.03    275.0  25.0 0 0
J15560104-2338081 J15560104-2338081 122.82     14.9  15.0 0 0
J15591135-2338002 J15591135-2338002 136.39     16.9  17.0 0 0
J16024575-2304509 J16024575-2304509 142        15.6  15.7 0 0
J16060391-2056443 J16060391-2056443 140.50     16.2  16.3 0 0
J16100541-1919362 J16100541-1919362 141.86     13.5  13.6 0 0
J16193976-2145349 J16193976-2145349 142        12.2  12.3 0 0
