#Table: J/A+A/594/A85/tablea4.dat (http://cdsarc.cds.unistra.fr)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     |   |   |   |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |       |        |     I[|     I[|     I[|     I[
     | ga|   |   |       |      I|      I|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I12C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|    I13C|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC18O|    IC18|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|  IC17O|    IC17|CI](3P1|CI](3P1|CI](3P2|CI](3P2
   Rc|mma| hc|psi|  Mdisk|870um10|870um80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|O(1-0)10|O(1-0)80|O(2-1)10|O(2-1)80|O(3-2)10|O(3-2)80|O(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|(1-0)10|O(1-0)80|(2-1)10|O(2-1)80|(3-2)10|O(3-2)80|(6-5)10|O(6-5)80|-3P0)10|-3P0)80|-3P1)10|-3P1)80
-----|---|---|---|-------|-------|-------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|--------|-------|-------|-------|-------
 30.0|1.0|0.1|0.1|0.00050|0.00421|0.00936| 1.33041| 0.88433| 1.40578| 0.87921| 1.31539| 0.79807| 0.79049| 0.45601| 0.32017| 0.24983| 0.48201| 0.37290| 0.49281| 0.37251| 0.25083| 0.17273|0.04869| 0.02023|0.08543| 0.03887|0.09325| 0.04125|0.04981| 0.01334|0.02130| 0.00754|0.04513| 0.01738|0.05218| 0.01964|0.02525| 0.00424|0.12569|0.11813|0.07167|0.06489
 30.0|1.0|0.1|0.1|0.00100|0.00717|0.01006| 1.55945| 1.05157| 1.62502| 1.03251| 1.51155| 0.93055| 0.91253| 0.52980| 0.43145| 0.34117| 0.61817| 0.47758| 0.61924| 0.46751| 0.31322| 0.22194|0.07869| 0.04009|0.13241| 0.07143|0.14228| 0.07371|0.07270| 0.02811|0.03663| 0.01548|0.07197| 0.03466|0.08125| 0.03870|0.03710| 0.01063|0.14750|0.13898|0.08138|0.07424
 30.0|1.0|0.1|0.1|0.00500|0.02229|0.01368| 2.13011| 1.47970| 2.16933| 1.42773| 2.01574| 1.27947| 1.27240| 0.73105| 0.77806| 0.61051| 1.00734| 0.76061| 0.97555| 0.71797| 0.47417| 0.33626|0.20499| 0.12934|0.29935| 0.17632|0.30219| 0.16798|0.13589| 0.06867|0.10665| 0.06148|0.17670| 0.10498|0.18420| 0.10585|0.07155| 0.03209|0.25419|0.23939|0.13184|0.12514
 30.0|1.0|0.1|0.1|0.01000|0.03304|0.01593| 2.35935| 1.65098| 2.39436| 1.57953| 2.21751| 1.40904| 1.38711| 0.78781| 0.92061| 0.72087| 1.15227| 0.86475| 1.10185| 0.80445| 0.52364| 0.36773|0.27337| 0.17941|0.38625| 0.23244|0.38285| 0.21784|0.16383| 0.08785|0.14498| 0.08944|0.23147| 0.14414|0.23625| 0.14209|0.08530| 0.04280|0.31540|0.29694|0.15339|0.14752
 30.0|1.0|0.1|0.1|0.10000|0.09014|0.02609| 3.12282| 2.20517| 3.10693| 2.08215| 2.86413| 1.84162| 1.85959| 1.00892| 1.31381| 0.99719| 1.60454| 1.16549| 1.52595| 1.07139| 0.72130| 0.48273|0.36734| 0.25277|0.50862| 0.31656|0.50195| 0.29634|0.21117| 0.12392|0.19644| 0.13851|0.30142| 0.20521|0.30550| 0.19935|0.11200| 0.06782|0.43617|0.42452|0.20184|0.20437
 30.0|1.5|0.1|0.1|0.00001|0.00020|0.00481| 0.24399| 0.14853| 0.30958| 0.18017| 0.30210| 0.17053| 0.15524| 0.07054| 0.01394| 0.00513| 0.03366| 0.01220| 0.04156| 0.01335| 0.02248|-0.00064|0.00039| 0.00010|0.00112| 0.00025|0.00164| 0.00027|0.00151|-0.00003|0.00014| 0.00004|0.00041| 0.00009|0.00064| 0.00010|0.00066|-0.00000|0.03548|0.03269|0.02049|0.01732
 30.0|1.5|0.1|0.1|0.00010|0.00105|0.00680| 0.91249| 0.63538| 1.01833| 0.67807| 0.92951| 0.60649| 0.41304| 0.24462| 0.11569| 0.07523| 0.20970| 0.15261| 0.21958| 0.15899| 0.09096| 0.04173|0.00634|-0.00050|0.01377|-0.00132|0.01644|-0.00209|0.01002|-0.00225|0.00246|-0.00017|0.00620|-0.00058|0.00803|-0.00103|0.00496|-0.00080|0.14680|0.14445|0.06490|0.06244
 30.0|1.5|0.1|0.1|0.00050|0.00343|0.00795| 1.88680| 1.35375| 2.03491| 1.41967| 1.82601| 1.25591| 0.81141| 0.51915| 0.34521| 0.28076| 0.56748| 0.46167| 0.56377| 0.44879| 0.20729| 0.14331|0.02942| 0.00636|0.05314| 0.01686|0.05839| 0.01884|0.02917| 0.00259|0.01299| 0.00180|0.02703| 0.00532|0.03113| 0.00619|0.01468|-0.00003|0.39848|0.39752|0.16451|0.16592
 30.0|1.5|0.1|0.1|0.00100|0.00576|0.00876| 2.38211| 1.74495| 2.54195| 1.82146| 2.28152| 1.61279| 1.06518| 0.68926| 0.54197| 0.45298| 0.83874| 0.68251| 0.81820| 0.65151| 0.29889| 0.22052|0.05266| 0.02145|0.09186| 0.04423|0.09875| 0.04648|0.04564| 0.01292|0.02409| 0.00731|0.04754| 0.01832|0.05345| 0.02076|0.02263| 0.00381|0.63192|0.62950|0.26967|0.27447
 30.0|1.5|0.1|0.1|0.00500|0.01672|0.01228| 3.92965| 3.00731| 4.04336| 3.03039| 3.56747| 2.64918| 1.75112| 1.14500| 1.23148| 1.02221| 1.65965| 1.32923| 1.55541| 1.21883| 0.54587| 0.41215|0.19410| 0.12848|0.31120| 0.19394|0.31552| 0.18577|0.11799| 0.06038|0.09132| 0.05470|0.16620| 0.10359|0.17517| 0.10537|0.05700| 0.02469|1.06359|1.07398|0.44928|0.46718
